Representative,Party,Electoral District,Language Group
Björn Anseeuw,N-VA,West Flanders,Dutch
Josy Arens,Les Engagés,Luxembourg,French
Daniel Bacquelaine,MR,Liège,French
Hugues Bayet,PS,Hainaut,French
Wouter Beke,CD&V,Limbourg,Dutch
Gitta Vanpeborgh,Vooruit,Antwerp,Dutch
Hendrik Bogaert,CD&V,West Flanders,Dutch
Nabil Boukili,PVDA/PTB,Brussels-Capital,French
Emmanuel Burton,MR,Walloon Brabant,French
Katleen Bury,Vlaams Belang,Flemish Brabant,Dutch
Peter Buysrogge,N-VA,East Flanders,Dutch
Kim Buyst,Groen,Antwerp,Dutch
Kristof Calvo,Groen,Antwerp,Dutch
Julie Chanson,Ecolo,Liège,French
Christophe Bombled,MR,Namur,French
Samuel Cogolati,Ecolo,Liège,French
Gaby Colebunders,PVDA/PTB,Liège,French
Sophie Thémont,PS,Liège,French
Barbara Creemers,Groen,Limbourg,Dutch
Steven Creyelman,Vlaams Belang,East Flanders,Dutch
Vicky Reynaert,Vooruit,West Flanders,Dutch
Roberto D'Amico,PVDA/PTB,Hainaut,French
Christoph D'Haese,N-VA,East Flanders,Dutch
Greet Daems,PVDA/PTB,Antwerp,Dutch
Hervé Rigot,PS,Liège,French
Georges Dallemagne,Les Engagés,Brussels-Capital,French
Maggie De Block,Open Vld,Flemish Brabant,Dutch
Robby De Caluwé,Open Vld,East Flanders,Dutch
Jan Briers,CD&V,East Flanders,Dutch
Tania De Jonge,Open Vld,East Flanders,Dutch
Séverine de Laveleye,Ecolo,Brussels-Capital,French
Michel De Maegd,MR,Brussels-Capital,French
Peter De Roover,N-VA,Antwerp,Dutch
François De Smet,DéFI,Brussels-Capital,French
Pieter De Spiegeleer,Vlaams Belang,East Flanders,Dutch
Wouter De Vriendt,Groen,West Flanders,Dutch
Steven De Vuyst,PVDA/PTB,East Flanders,Dutch
Sophie De Wit,N-VA,Antwerp,Dutch
Jean-Marie Dedecker,Onafhankelijk,West Flanders,Dutch
Leslie Leoni,PS,Hainaut,French
Jean-Marc Delizée,PS,Namur,French
Mieke Claes,N-VA,Limbourg,Dutch
Franky Demon,CD&V,West Flanders,Dutch
Kathleen Depoorter,N-VA,East Flanders,Dutch
Ortwin Depoortere,Vlaams Belang,East Flanders,Dutch
Melissa Depraetere,Vooruit,West Flanders,Dutch
Khalil Aouasti,PS,Brussels-Capital,French
Patrick Dewael,Open Vld,Limbourg,Dutch
Nathalie Dewulf,Vlaams Belang,West Flanders,Dutch
Philippe Tison,PS,Hainaut,French
Leen Dierick,CD&V,East Flanders,Dutch
Marijke Dillen,Vlaams Belang,Antwerp,Dutch
Denis Ducarme,MR,Hainaut,French
Nawal Farih,CD&V,Limbourg,Dutch
Malik Ben Achour,PS,Liège,French
André Flahaut,PS,Walloon Brabant,French
Catherine Fonck,Les Engagés,Hainaut,French
Theo Francken,N-VA,Flemish Brabant,Dutch
Michael Freilich,N-VA,Antwerp,Dutch
Katja Gabriëls,Open Vld,East Flanders,Dutch
Koen Geens,CD&V,Flemish Brabant,Dutch
Frieda Gijbels,N-VA,Limbourg,Dutch
Erik Gilissen,Vlaams Belang,Limbourg,Dutch
Cécile Cornet,Ecolo,Namur,French
Chanelle Bonaventure,PS,Liège,French
Philippe Goffin,MR,Liège,French
Mélissa Hanus,PS,Luxembourg,French
Raoul Hedebouw,PVDA/PTB,Liège,French
Katrien Houtmeyers,N-VA,Flemish Brabant,Dutch
Yngvild Ingels,N-VA,West Flanders,Dutch
Mathieu Bihet,MR,Liège,French
Wim Van der Donckt,N-VA,Antwerp,Dutch
Karin Jiroflée,Vooruit,Flemish Brabant,Dutch
Claire Hugon,Ecolo,Brussels-Capital,French
Ben Segers,Vooruit,Antwerp,Dutch
Emir Kir,PS,Brussels-Capital,French
Meryame Kitir,Vooruit,Limbourg,Dutch
Ahmed Laaouej,PS,Brussels-Capital,French
Egbert Lachaert,Open Vld,East Flanders,Dutch
Christophe Lacroix,PS,Liège,French
Nahima Lanjri,CD&V,Antwerp,Dutch
Louis Mariage,Ecolo,Hainaut,French
Christian Leysen,Open Vld,Antwerp,Dutch
Goedele Liekens,Open Vld,Flemish Brabant,Dutch
Sander Loones,N-VA,West Flanders,Dutch
Marie-Christine Marghem,MR,Hainaut,French
Vanessa Matz,Les Engagés,Liège,French
Sofie Merckx,PVDA/PTB,Hainaut,French
Peter Mertens,PVDA/PTB,Antwerp,Dutch
Koen Metsu,N-VA,Antwerp,Dutch
Vincent Scourneau,MR,Walloon Brabant,French
Nadia Moscufo,PVDA/PTB,Liège,French
Simon Moutquin,Ecolo,Walloon Brabant,French
Nathalie Muylle,CD&V,West Flanders,Dutch
Laurence Hennuy,Ecolo,Hainaut,French
Özlem Özen,PS,Hainaut,French
Barbara Pas,Vlaams Belang,East Flanders,Dutch
Benoît Piedbœuf,MR,Luxembourg,French
Annick Ponthier,Vlaams Belang,Limbourg,Dutch
Maxime Prévot,Les Engagés,Namur,French
Patrick Prévot,PS,Hainaut,French
Wouter Raskin,N-VA,Limbourg,Dutch
Kurt Ravyts,Vlaams Belang,West Flanders,Dutch
Florence Reuter,MR,Walloon Brabant,French
Philippe Pivin,MR,Brussels-Capital,French
Tomas Roggeman,N-VA,East Flanders,Dutch
Sophie Rohonyi,DéFI,Brussels-Capital,French
Darya Safai,N-VA,Flemish Brabant,Dutch
Ellen Samyn,Vlaams Belang,Antwerp,Dutch
Sarah Schlitz,Ecolo,Liège,French
Eva Platteau,Groen,Flemish Brabant,Dutch
Daniel Senesael,PS,Hainaut,French
Dominiek Spinnewyn-Sneppe,Vlaams Belang,West Flanders,Dutch
Sigrid Goethals,N-VA,Flemish Brabant,Dutch
Caroline Taquin,MR,Hainaut,French
Olivier Vajda,Ecolo,Luxembourg,French
Éric Thiébaut,PS,Hainaut,French
Éliane Tillieux,PS,Namur,French
Frank Troosters,Vlaams Belang,Limbourg,Dutch
Anneleen Van Bossuyt,N-VA,East Flanders,Dutch
Yoleen Van Camp,N-VA,Antwerp,Dutch
Jef Van den Bergh,CD&V,Antwerp,Dutch
Guillaume Defossé,Ecolo,Brussels-Capital,French
Tom Van Grieken,Vlaams Belang,Antwerp,Dutch
Stefaan Van Hecke,Groen,East Flanders,Dutch
Marco Van Hees,PVDA/PTB,Hainaut,French
Els Van Hoof,CD&V,Flemish Brabant,Dutch
Joris De Vriendt,Vlaams Belang,Flemish Brabant,Dutch
Reccino Van Lommel,Vlaams Belang,Antwerp,Dutch
Valerie Van Peel,N-VA,Antwerp,Dutch
Jasper Pillen,Open Vld,West Flanders,Dutch
Kristien Van Vaerenbergh,N-VA,Flemish Brabant,Dutch
Dieter Van Besien,Groen,Flemish Brabant,Dutch
Gilles Vanden Burre,Ecolo,Brussels-Capital,French
Joris Vandenbroucke,Vooruit,East Flanders,Dutch
Tim Vandenput,Open Vld,Flemish Brabant,Dutch
Anja Vanrobaeys,Vooruit,East Flanders,Dutch
Kris Verduyckt,Vooruit,Limbourg,Dutch
Marianne Verhaert,Open Vld,Antwerp,Dutch
Kathleen Verhelst,Open Vld,West Flanders,Dutch
Servais Verherstraeten,CD&V,Antwerp,Dutch
Wouter Vermeersch,Vlaams Belang,West Flanders,Dutch
Hans Verreyt,Vlaams Belang,Antwerp,Dutch
Albert Vicaire,Ecolo,Hainaut,French
Maria Vindevoghel,PVDA/PTB,Brussels-Capital,Dutch
Thierry Warmoes,PVDA/PTB,Namur,French
Kathleen Pisman,Groen,East Flanders,Dutch
Sophie Wilmès,MR,Brussels-Capital,French
Bert Wollants,N-VA,Antwerp,Dutch
Laurence Zanchetta,PS,Hainaut,French
Alexander De Croo ,Open Vld,,Dutch
